timestamp,crash_mult,trigger,mode,p1_result,p2_result,round_pnl,session_pnl,cumulative_pnl
2026-05-09 05:00:31,1.01,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 05:00:46,1.55,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 05:01:33,1.85,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 05:01:46,1.84,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 05:01:58,1.22,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 05:02:16,1.06,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 05:02:22,1.40,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 05:02:33,1.14,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 05:02:45,1.20,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 05:03:06,2.06,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 05:04:28,1.26,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 05:05:27,265.38,1,watch,-,-,0.00,0.00,-23.00
2026-05-09 05:05:42,1.55,0,bet,loss,loss,-2.00,-2.00,-25.00
2026-05-09 05:06:11,5.02,0,bet,loss,win,1.00,-1.00,-24.00
2026-05-09 05:06:26,1.61,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 05:06:51,3.46,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 05:07:06,1.50,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 05:07:21,1.65,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 05:07:45,3.32,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 05:08:06,2.45,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 05:08:36,1.67,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 05:10:07,4.30,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 05:10:22,1.62,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 05:10:31,1.27,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 05:11:14,16.34,1,watch,-,-,0.00,0.00,-24.00
2026-05-09 05:11:34,2.17,0,bet,loss,loss,-2.00,-2.00,-26.00
2026-05-09 05:11:46,1.17,0,bet,loss,loss,-2.00,-4.00,-28.00
2026-05-09 05:12:14,4.81,0,bet,loss,win,1.00,-3.00,-27.00
2026-05-09 05:12:33,2.15,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:12:51,2.00,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:17:08,1.07,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:19:34,4.75,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:20:11,2.73,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:20:33,3.94,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:20:45,1.36,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:21:16,7.41,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:21:26,1.00,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:21:40,1.38,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:21:50,1.04,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:22:03,1.30,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:22:19,1.70,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:22:37,1.98,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:22:56,2.21,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:25:26,1.36,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:25:33,1.00,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:26:28,1.31,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:26:52,1.74,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:27:24,1.38,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:27:40,1.71,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:27:51,1.13,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:28:11,2.38,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:28:24,1.23,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:28:44,2.49,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:29:01,1.88,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:29:33,3.02,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:29:35,1.05,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:29:59,3.01,0,watch,-,-,0.00,0.00,-27.00
